epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.6861,1.8153,0.32468,0.98701,1.56942,0.00018,0.00018,0.00018
2,80.1992,1.3608,0.64935,1,1.19221,0.000362674,0.000362674,0.000362674
3,120.317,0.93732,0.74026,1,0.82857,0.000537824,0.000537824,0.000537824
4,159.804,0.67527,0.76623,1,0.58008,0.00070545,0.00070545,0.00070545
5,200.427,0.4485,0.76623,1,0.50752,0.000865552,0.000865552,0.000865552
6,240.877,0.36204,0.77922,1,0.71687,0.000901,0.000901,0.000901
7,280.169,0.30246,0.80519,1,0.69377,0.0008812,0.0008812,0.0008812
8,1293.82,0.25966,0.74026,1,0.69987,0.0008614,0.0008614,0.0008614
9,1343.9,0.1795,0.77922,1,0.73828,0.0008416,0.0008416,0.0008416
10,1381.35,0.13127,0.79221,1,0.61898,0.0008218,0.0008218,0.0008218
11,1418.55,0.10698,0.81818,1,0.62767,0.000802,0.000802,0.000802
12,1455.92,0.1413,0.79221,1,0.78126,0.0007822,0.0007822,0.0007822
13,1493.28,0.10757,0.81818,1,0.76904,0.0007624,0.0007624,0.0007624
14,1530.96,0.08809,0.84416,1,0.69028,0.0007426,0.0007426,0.0007426
15,1568.51,0.1257,0.80519,1,0.56062,0.0007228,0.0007228,0.0007228
16,1606.15,0.10163,0.79221,1,0.73194,0.000703,0.000703,0.000703
17,1643.16,0.07738,0.80519,1,0.9328,0.0006832,0.0006832,0.0006832
18,1680.49,0.08076,0.77922,1,0.94892,0.0006634,0.0006634,0.0006634
19,1717.66,0.09942,0.76623,1,0.83081,0.0006436,0.0006436,0.0006436
20,1755.74,0.08437,0.75325,1,0.80282,0.0006238,0.0006238,0.0006238
21,1792.76,0.05548,0.76623,1,0.75706,0.000604,0.000604,0.000604
22,1830.3,0.04189,0.75325,1,0.8098,0.0005842,0.0005842,0.0005842
23,1868.23,0.09618,0.79221,1,1.02785,0.0005644,0.0005644,0.0005644
24,1961.65,0.05338,0.76623,1,1.15478,0.0005446,0.0005446,0.0005446
25,2001.62,0.06274,0.74026,1,0.90126,0.0005248,0.0005248,0.0005248
26,2039.68,0.05769,0.75325,1,0.88957,0.000505,0.000505,0.000505
27,2077.68,0.04364,0.79221,1,0.69108,0.0004852,0.0004852,0.0004852
28,2114.83,0.08321,0.77922,1,0.95236,0.0004654,0.0004654,0.0004654
29,2152.3,0.0374,0.79221,1,0.74451,0.0004456,0.0004456,0.0004456
30,2189.57,0.04202,0.75325,1,0.89668,0.0004258,0.0004258,0.0004258
31,2226.94,0.05555,0.75325,1,1.12661,0.000406,0.000406,0.000406
32,2264.11,0.04532,0.75325,1,0.95266,0.0003862,0.0003862,0.0003862
33,2301.05,0.03267,0.77922,1,0.86689,0.0003664,0.0003664,0.0003664
34,2335.8,0.0398,0.77922,1,1.05955,0.0003466,0.0003466,0.0003466
35,2364.43,0.05852,0.77922,1,0.92923,0.0003268,0.0003268,0.0003268
36,2394.09,0.03413,0.79221,1,0.9031,0.000307,0.000307,0.000307
37,2422.8,0.05767,0.79221,1,0.68187,0.0002872,0.0002872,0.0002872
38,2451.92,0.03412,0.79221,1,0.85334,0.0002674,0.0002674,0.0002674
39,2481.13,0.03913,0.77922,1,0.67637,0.0002476,0.0002476,0.0002476
40,2510.36,0.01904,0.77922,1,0.79688,0.0002278,0.0002278,0.0002278
41,2539.66,0.01468,0.77922,1,0.71923,0.000208,0.000208,0.000208
42,2569.32,0.04808,0.76623,1,1.09998,0.0001882,0.0001882,0.0001882
43,2599.19,0.02501,0.77922,1,0.75866,0.0001684,0.0001684,0.0001684
44,2629.09,0.01678,0.77922,1,0.84551,0.0001486,0.0001486,0.0001486
45,2658.54,0.01928,0.81818,1,0.77225,0.0001288,0.0001288,0.0001288
46,2688.24,0.04119,0.76623,1,0.7475,0.000109,0.000109,0.000109
47,2718.01,0.04899,0.77922,1,0.77731,8.92e-05,8.92e-05,8.92e-05
48,2747.76,0.01957,0.77922,1,0.85037,6.94e-05,6.94e-05,6.94e-05
49,2777.18,0.01399,0.77922,1,0.80031,4.96e-05,4.96e-05,4.96e-05
50,2806.6,0.03719,0.76623,1,0.79141,2.98e-05,2.98e-05,2.98e-05
