epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,441.527,0.61589,1.47087,1.18907,0.65882,0.66065,0.71346,0.60383,0.53055,2.04686,0.98767,0.0004852,0.0004852,0.0004852
28,457.479,0.65782,1.35319,1.11409,0.61528,0.71299,0.72741,0.62874,0.49025,1.94172,0.95562,0.000482852,0.000482852,0.000482852
29,473.969,0.62691,1.31393,1.08179,0.61528,0.71299,0.72741,0.62874,0.49025,1.94172,0.95562,0.00047902,0.00047902,0.00047902
30,490.239,0.56374,1.37533,1.11061,0.65284,0.67928,0.77264,0.69829,0.44666,1.79094,0.91584,0.000473703,0.000473703,0.000473703
31,506.412,0.62145,1.34373,1.10241,0.80635,0.66934,0.81407,0.73813,0.42955,1.69145,0.91262,0.0004669,0.0004669,0.0004669
32,522.97,0.58617,1.23881,1.04389,0.74418,0.72791,0.83712,0.74285,0.46063,1.69861,0.94509,0.000458613,0.000458613,0.000458613
33,539.124,0.57122,1.21795,1.08257,0.74418,0.72791,0.83712,0.74285,0.46063,1.69861,0.94509,0.00044884,0.00044884,0.00044884
34,557.943,0.6669,1.30492,1.08422,0.76237,0.818,0.89632,0.78765,0.47575,1.63086,0.95308,0.00043325,0.00043325,0.00043325
35,574.631,0.575,1.29405,1.04597,0.86588,0.82247,0.92243,0.82145,0.48433,1.50937,0.96653,0.0004085,0.0004085,0.0004085
36,590.824,0.6525,1.29158,1.09784,0.91435,0.84097,0.93075,0.82951,0.47071,1.42273,0.94293,0.00038375,0.00038375,0.00038375
37,607.089,0.56382,1.1852,1.04704,0.91435,0.84097,0.93075,0.82951,0.47071,1.42273,0.94293,0.000359,0.000359,0.000359
38,623.222,0.60127,1.16862,1.05657,0.94572,0.82798,0.93304,0.84084,0.46637,1.37972,0.93611,0.00033425,0.00033425,0.00033425
39,639.368,0.61602,1.29489,1.08416,0.98418,0.82596,0.94825,0.86524,0.44421,1.3178,0.92046,0.0003095,0.0003095,0.0003095
40,655.633,0.55881,1.17179,1.07522,0.95633,0.82816,0.96051,0.88859,0.411,1.26479,0.90141,0.00028475,0.00028475,0.00028475
41,671.776,0.47579,1.41113,0.998,0.95633,0.82816,0.96051,0.88859,0.411,1.26479,0.90141,0.00026,0.00026,0.00026
42,687.919,0.5227,1.41308,1.02801,0.92508,0.87095,0.96556,0.90063,0.38886,1.23011,0.88688,0.00023525,0.00023525,0.00023525
43,703.776,0.43585,1.27405,0.95272,0.92179,0.94155,0.96644,0.90932,0.37488,1.25677,0.87496,0.0002105,0.0002105,0.0002105
44,719.707,0.45448,1.33905,0.98329,0.94997,0.92856,0.97384,0.91821,0.38571,1.29365,0.88515,0.00018575,0.00018575,0.00018575
45,736.28,0.38972,1.21768,0.92905,0.94997,0.92856,0.97384,0.91821,0.38571,1.29365,0.88515,0.000161,0.000161,0.000161
46,752.852,0.40458,1.29787,0.96622,0.97452,0.92336,0.9796,0.9191,0.38475,1.2998,0.88456,0.00013625,0.00013625,0.00013625
47,772.148,0.4176,1.31202,0.9845,0.98101,0.92537,0.98044,0.92728,0.37629,1.28294,0.88053,0.0001115,0.0001115,0.0001115
48,788.268,0.38352,1.2452,0.89725,0.98305,0.92648,0.9821,0.92742,0.36571,1.24225,0.87181,8.675e-05,8.675e-05,8.675e-05
49,804.784,0.41821,1.30678,0.96838,0.98305,0.92648,0.9821,0.92742,0.36571,1.24225,0.87181,6.2e-05,6.2e-05,6.2e-05
50,820.751,0.37913,1.19994,0.91361,0.96772,0.94553,0.98065,0.93126,0.35525,1.20476,0.8663,3.725e-05,3.725e-05,3.725e-05
